idx	radius
316	0.768
317	0.396
318	0.174
319	0.292
320	0.0
321	0.546
322	0.935
323	0.144
324	0.721
325	0.592
326	0.0
327	0.208
328	0.454
329	0.149
330	0.133
331	0.935
332	0.935
333	0.0
334	0.754
335	0.0
336	0.852
337	0.308
338	0.101
339	0.909
340	0.935
341	0.00419
342	0.89
343	0.757
344	0.613
345	0.577
346	0.626
347	0.0
348	0.935
349	0.405
350	0.378
351	0.0
352	0.935
353	0.0
354	0.9
355	0.0
356	0.0
357	0.312
358	0.18
359	0.702
360	0.464
361	0.157
362	0.661
363	0.423
364	0.761
365	0.237
366	0.0
367	0.0
368	0.271
369	0.327
370	0.832
371	0.0
372	0.0
373	0.709
374	0.919
375	0.466
376	0.935
377	0.371
378	0.919
379	0.387
380	0.919
381	0.0
382	0.0
383	0.113
384	0.425
385	0.0
386	0.919
387	0.0
388	0.331
389	0.0
390	0.0
391	0.592
392	0.254
393	0.935
394	0.746
395	0.638
396	0.0
397	0.86
398	0.079
399	0.139
400	0.323
401	0.735
402	0.0
403	0.699
404	0.778
405	0.293
406	0.0
407	0.0206
408	0.0
409	0.935
410	0.271
411	0.0
412	0.0
413	0.573
414	0.935
415	0.841
416	0.0
417	0.318
418	0.101
419	0.935
420	0.935
421	0.17
422	0.0
423	0.14
424	0.785
425	0.369
426	0.658
427	0.415
428	0.028
429	0.9
430	0.0
431	0.00978
432	0.0
433	0.574
434	0.678
435	0.0883
436	0.549
437	0.0
438	0.26
439	0.935
440	0.267
441	0.935
442	0.935
443	0.188
444	0.893
445	0.78
446	0.0
447	0.568
448	0.0
449	0.12
450	0.935
451	0.935
452	0.791
453	0.0
454	0.464
455	0.181
456	0.0
457	0.0205
458	0.515
459	0.0
460	0.935
461	0.849
462	0.822
463	0.473
464	0.321
465	0.0
466	0.0396
467	0.9
468	0.935
469	0.0
470	0.0
471	0.919
472	0.775
473	0.57
474	0.139
475	0.214
476	0.664
477	0.716
478	0.648
479	0.0
480	0.935
481	0.318
482	0.361
483	0.385
484	0.901
485	0.827
486	0.729
487	0.0269
488	0.0
489	0.0438
490	0.231
491	0.935
492	0.0
493	0.0
494	0.0336
495	0.0857
496	0.935
497	0.935
498	0.0457
499	0.0
500	0.935
